Node1;HL2;1200
Node2;HL2;3000
Node3;HL2;2000
Node4;HL2;2700
Node5;HL2;4000
Node6;HL2;1500
Node7;HL2;1900
Node8;HL2;3100
Node9;HL3;2000
Node10;HL3;2200
Node11;HL3;2400
Node12;HL3;1400
Node13;HL3;1600
Node14;HL3;1800
Node15;HL3;600
Node16;HL3;900
Node17;HL3;800
Node18;HL3;1300
Node19;HL3;1600
Node20;HL3;1800
Node21;HL2;1300
Node22;HL2;2900
Node23;HL2;2900
Node24;HL2;2100
Node25;HL4;1200
Node26;HL4;1400
Node27;HL4;1400
Node28;HL4;1000
Node29;HL4;900
Node30;HL4;1600
Node31;HL4;1800
Node32;HL4;1700
Node33;HL4;1400
Node34;HL4;1700
Node35;HL4;2100
Node36;HL4;2000
Node37;HL4;2000
Node38;HL4;1500
Node39;HL4;1400
Node40;HL3;1900
Node41;HL3;1500
Node42;HL3;1600
Node43;HL3;1600
Node44;HL3;1400
Node45;HL4;1400
Node46;HL4;1000
Node47;HL4;1100
Node48;HL4;800
Node49;HL4;500
Node50;HL4;1200
Node51;HL4;500
Node52;HL4;800
